state,value
Mississippi,1
Oklahoma,1
Wyoming,0
Minnesota,1
Illinois,1
Georgia,1
Arkansas,1
New Mexico,0
Ohio,1
Indiana,1
Maryland,1
Louisiana,1
Idaho,0
Arizona,0
Iowa,0
Michigan,1
Kansas,1
Utah,0
Virginia,1
Oregon,0
Connecticut,1
Montana,1
California,0
Massachusetts,1
West Virginia,1
South Carolina,1
New Hampshire,1
Vermont,0
Delaware,1
North Dakota,1
Pennsylvania,1
Florida,1
Alaska,0
Kentucky,0
Hawaii,0
Nebraska,1
Missouri,1
Wisconsin,1
Alabama,1
New York,1
South Dakota,1
Colorado,0
New Jersey,1
Washington,0
North Carolina,1
Tennessee,0
District of Columbia,0
Texas,1
Nevada,0
Maine,1
Rhode Island,1
