status, species, listing name, link, spcode
E,"A`e","Zanthoxylum dipetalum var. tomentosum",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q3A7,Q3A7
E,"A`e","Zanthoxylum hawaiiense",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q246,Q246
E,"A`e","Zanthoxylum oahuense",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q3H9,Q3H9
T,"`Ahinahina","Argyroxiphium sandwicense ssp. macrocephalum",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q1T3,Q1T3
E,"`Ahinahina","Argyroxiphium sandwicense ssp. sandwicense",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q25I,Q25I
E,"`Aiakeakua, popolo","Solanum sandwicense",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q21S,Q21S
E,"`Aiea","Nothocestrum breviflorum",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q1ZJ,Q1ZJ
E,"`Aiea","Nothocestrum latifolium",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q19R,Q19R
E,"`Aiea","Nothocestrum peltatum",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q1ZK,Q1ZK
E,"`Akoko","Euphorbia celastroides var. kaenana",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q1U7,Q1U7
E,"`Akoko","Euphorbia deppeana",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q1U8,Q1U8
E,"`Akoko","Euphorbia eleanoriae",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q3HH,Q3HH
E,"`Akoko","Euphorbia haeleeleana",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q0UD,Q0UD
E,"`Akoko","Euphorbia herbstii",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q3GN,Q3GN
E,"`Akoko","Euphorbia kuwaleana",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q30T,Q30T
E,"`Akoko","Euphorbia remyi var. kauaiensis",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q1UC,Q1UC
E,"`Akoko","Euphorbia remyi var. remyi",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q1UD,Q1UD
E,"`Akoko","Euphorbia rockii",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q3GO,Q3GO
E,"''Akoko","Euphorbia halemanui",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q1UA,Q1UA
E,"`Akoko, Ewa Plains","Euphorbia skottsbergii var. skottsbergii",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q1UE,Q1UE
E,"`aku","Cyanea tritomantha",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q0IX,Q0IX
E,"`aku`aku","Cyanea platyphylla",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q285,Q285
E,"`Ala `ala wai nui","Peperomia subpetiolata",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q201,Q201
E,"Alani","Melicope adscendens",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q35V,Q35V
E,"Alani","Melicope balloui",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q1YU,Q1YU
E,"Alani","Melicope christophersenii",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q1YV,Q1YV
E,"Alani","Melicope degeneri",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q1YX,Q1YX
E,"Alani","Melicope haupuensis",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q1YY,Q1YY
E,"Alani","Melicope hiiakae",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q2DJ,Q2DJ
E,"Alani","Melicope knudsenii",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q1YZ,Q1YZ
E,"Alani","Melicope lydgatei",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q1Z0,Q1Z0
E,"Alani","Melicope makahae",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q1Z2,Q1Z2
E,"Alani","Melicope mucronulata",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q1Z3,Q1Z3
E,"Alani","Melicope munroi",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q1Z4,Q1Z4
E,"Alani","Melicope ovalis",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q1Z7,Q1Z7
E,"Alani","Melicope pallida",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q1Z8,Q1Z8
E,"Alani","Melicope paniculata",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q1Z9,Q1Z9
E,"Alani","Melicope puberula",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q35Y,Q35Y
E,"Alani","Melicope quadrangularis",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q1ZA,Q1ZA
E,"Alani","Melicope reflexa",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q1ZB,Q1ZB
E,"Alani","Melicope saint-johnii",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q17M,Q17M
E,"Alani","Melicope zahlbruckneri",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q1ZC,Q1ZC
E,"`Anaunau","Lepidium arbuscula",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q12Y,Q12Y
E,"`Anunu","Sicyos albus",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q393,Q393
E,"`Anunu","Sicyos macrophyllus",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q396,Q396
E,"aumakua, Palapalai","Dryopteris crinalis var. podosorus",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=S02I,S02I
E,"Aupaka","Isodendrion hosakae",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q2BU,Q2BU
E,"Aupaka","Isodendrion laurifolium",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q108,Q108
T,"Aupaka","Isodendrion longifolium",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q109,Q109
E,"`Awikiwiki","Canavalia molokaiensis",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q1TX,Q1TX
E,"`Awikiwiki","Canavalia napaliensis",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q1TY,Q1TY
E,"`Awikiwiki","Canavalia pubescens",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q0BB,Q0BB
E,"Awiwi","Schenkia sebaeoides",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q30Q,Q30Q
E,"'Awiwi","Kadua cookiana",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q1WY,Q1WY
E,"bean, sea","Mucuna sloanei var. persericea",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q3NZ,Q3NZ
E,"Bluegrass, Hawaiian","Poa sandvicensis",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q20O,Q20O
E,"Bluegrass, Mann's","Poa mannii",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q2GL,Q2GL
E,"Chaff-flower, round-leaved","Achyranthes splendens var. rotundata",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q24I,Q24I
E,"diellia, Asplenium-leaved","Asplenium dielerectum",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=S00P,S00P
E,"`Ena`ena","Pseudognaphalium sandwicensium var. molokaiense",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q1WN,Q1WN
E,"Fern, pendant kihi","Adenophorus periens",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=S00M,S00M
E,"Gardenia","Gardenia brighamii",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q1WJ,Q1WJ
E,"Geranium, Hawaiian red-flowered","Geranium arboreum",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q1WL,Q1WL
E,"Haha","Cyanea acuminata",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q3GJ,Q3GJ
E,"Haha","Cyanea asarifolia",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q31J,Q31J
E,"Haha","Cyanea asplenifolia",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q1V0,Q1V0
E,"Haha","Cyanea calycina",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q1LP,Q1LP
E,"Haha","Cyanea copelandii ssp. copelandii",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q31K,Q31K
E,"Haha","Cyanea copelandii ssp. haleakalaensis",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q3GV,Q3GV
E,"haha","Cyanea crispa",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q1V1,Q1V1
E,"Haha","Cyanea dolichopoda",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q3MS,Q3MS
E,"haha","Cyanea dunbariae",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q31L,Q31L
E,"haha","Cyanea duvalliorum",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q3NS,Q3NS
E,"Haha","Cyanea eleeleensis",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q3HA,Q3HA
E,"haha","Cyanea gibsonii",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q2SU,Q2SU
E,"Haha","Cyanea glabra",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q31M,Q31M
E,"Haha","Cyanea grimesiana ssp. grimesiana",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q1V2,Q1V2
E,"Haha","Cyanea grimesiana ssp. obatae",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q2SR,Q2SR
E,"Haha","Cyanea hamatiflora ssp. carlsonii",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q2SS,Q2SS
E,"Haha","Cyanea hamatiflora ssp. hamatiflora",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q3GW,Q3GW
E,"Haha","Cyanea humboldtiana",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q0IN,Q0IN
E,"Haha","Cyanea kolekoleensis",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q3MT,Q3MT
E,"Haha","Cyanea koolauensis",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q3GP,Q3GP
E,"Haha","Cyanea kuhihewa",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q3H2,Q3H2
E,"Haha","Cyanea kunthiana",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q0IO,Q0IO
E,"Haha","Cyanea lanceolata",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q0IP,Q0IP
E,"Haha","Cyanea lobata",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q2ST,Q2ST
E,"Haha","Cyanea longiflora",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q3GQ,Q3GQ
E,"haha","Cyanea magnicalyx",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q3NU,Q3NU
E,"Haha","Cyanea mannii",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q31P,Q31P
E,"haha","Cyanea maritae",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q3NV,Q3NV
E,"Haha","Cyanea marksii",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q0IS,Q0IS
E,"haha","Cyanea mauiensis",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q3NW,Q3NW
E,"Haha","Cyanea mceldowneyi",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q1V3,Q1V3
E,"haha","Cyanea munroi",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q3NX,Q3NX
E,"Haha","Cyanea obtusa",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q31Q,Q31Q
E,"Haha","Cyanea pinnatifida",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q284,Q284
E,"Haha","Cyanea procera",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q31S,Q31S
E,"Haha","Cyanea profuga",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q31T,Q31T
E,"Haha","Cyanea purpurellifolia",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q1LR,Q1LR
T,"Haha","Cyanea recta",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q31V,Q31V
E,"Haha","Cyanea remyi",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q3GK,Q3GK
E,"Haha","Cyanea rivularis",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q0LV,Q0LV
E,"Haha","Cyanea shipmanii",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q1V4,Q1V4
E,"Haha","Cyanea stictophylla",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q286,Q286
E,"Haha","Cyanea st.-johnii",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q1V5,Q1V5
E,"Haha","Cyanea superba",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q1V6,Q1V6
E,"Haha","Cyanea truncata",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q31W,Q31W
E,"Haha","Cyanea undulata",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q31X,Q31X
E,"haiwale","Cyrtandra ferripilosa",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q3NY,Q3NY
E,"Haiwale","Cyrtandra gracilis",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q28D,Q28D
E,"Haiwale","Cyrtandra paliku",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q3MU,Q3MU
E,"Haiwale","Cyrtandra waiolani",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q0LK,Q0LK
E,"Ha`iwale","Cyrtandra crenata",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q28B,Q28B
E,"Ha`iwale","Cyrtandra dentata",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q0JV,Q0JV
E,"Ha`iwale","Cyrtandra filipes",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q2SY,Q2SY
E,"Ha`iwale","Cyrtandra giffardii",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q28C,Q28C
E,"Ha`iwale","Cyrtandra hematos",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q323,Q323
E,"Ha`iwale","Cyrtandra kaulantha",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q0KJ,Q0KJ
T,"Ha`iwale","Cyrtandra limahuliensis",https://ecos.fws.gov/ecp0/profile/speciesProfile?spcode=Q326,Q326
